data,Somalia,jowhar,hargeysa,buuhoodle,burco,sheikh,caynabo,laas_caanood,owdweyne,ceel_afweyn,xudun,ceerigaabo,laasqoray,bossaso,xamar_weyne,qardho,garowe,burtinle,gaalkacyo,galdogob,hobyo,dhuusamarreeb,cabudwaaq,cadaado,belet_weyne,waaberi,boondheere,marka,afgooye,hodan,wanla_weyn,baidoa,diinsoor,xudur,ceel_barde,waajid,garbahaarey,baardheere,ceel_waaq,doolow,belet_xaawo,luuq,kismayo,afmadow,lughaye,zeylac,dharkenley,daynile,hawl_wadaag,kahda,baki,borama,berbera,gebiley,cabdlcasiis,karaan,shibis,shangaani,wadajir,wardhiigleey,xamar_jabjab,yaaqshiid
Average,0.71,2.06,0.56,0,0,0,0,0,0.06,0,0,0,0.87,1.85,0,11.17,0.3,0,0.03,0,0,0,0,0,0.87,1.92,0,0,0.13,0.15,1.5,1.28,2.67,0.33,0,2.17,0,0,0,0,3.75,0,0.12,0.72,5.95,0,0.48,0.23,0.71,0.41,0,0,0,1.25,0,1,0.5,0.43,0,0.27,0,0
Female-only latrines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,0.5,2,0.48,0,0,0,0,0,0.06,0,0,0.22,0.33,2.1,0,11.17,0.15,0,0.03,0,0,0,0,0,0.72,1.75,0,0,0.11,0.01,0.17,1.11,1.92,0.33,0,1.67,0,0,0.33,0,0,0,0.18,0.78,0.05,0,0,0.02,0.1,0.02,0,0,0,0,0,1,0.5,0.29,0.05,0.27,0,0
Non-Gendered Latrines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,14.26,4.51,252.16,11.62,218.8,8.38,60,33.39,17.83,12.88,4.89,4.11,9.87,19.08,14.14,72.17,15.78,18,36.22,20.2,1.67,135.6,33.88,14.2,1.89,15.33,12.75,21.71,12.8,10.3,1.17,5.17,1.08,10,1.75,1,4.25,82.75,0,1027.5,54.75,37.92,7.51,7.5,6.37,13,6.52,4.15,5.76,4.21,3,101.9,55.9,2.25,19.22,1,15,4.71,12.16,9.91,4,25.5
Bathing facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,0.28,0.28,0.2,0,0,0,0,0,0,0,0,0,0.13,0.67,4.57,29,0.93,0,0.01,0,0,0,0,13,0.07,0.08,0,0.14,0.03,0.01,0.83,0.11,0.33,0,0,1,0,0,0,0,0,0,0.09,1.06,0,0,0,0.03,0,0,0,3.5,0,1.25,0,0,0,0,0,0.09,0,0
sanitation_toilets_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,15.39,8.48,253.2,11.56,156.13,8.38,60,33.39,17.89,12.88,4.89,4.44,10.4,26.08,14.71,94.42,16.11,18,36.28,20.2,1.67,131.8,34.25,14.2,3.49,19.75,12.5,21.71,13.08,10.45,2.33,7.77,5.08,10.67,1.75,5,3.75,82.75,0.33,1243.5,58.5,37.92,7.82,9.11,12.16,13,7.22,4.53,6.67,4.67,3,101.9,55.9,3.75,19.22,3,15.75,5.57,12.16,10.27,4,25.5
Approximately what proportion of households in the settlement have access to functioning hand-washing facilities with water and soap?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 to 25%,81.9,60.34,100,100,100,80,100,100,100,57.14,100,83.33,100,97.44,66.67,100,87.5,100,100,66.67,100,100,85.71,100,67.69,100,100,100,100,94.44,66.67,72.14,100,100,0,0,100,100,100,100,100,44.44,61.49,30.77,100,100,86.96,88.18,70.59,84.4,100,100,100,75,100,50,100,71.43,60,100,66.67,50
26 to 50%,16.12,24.14,0,0,0,20,0,0,0,14.29,0,16.67,0,2.56,33.33,0,12.5,0,0,0,0,0,14.29,0,24.62,0,0,0,0,4.17,33.33,24.77,0,0,100,100,0,0,0,0,0,11.11,37.16,69.23,0,0,13.04,10.95,29.41,15.6,0,0,0,25,0,50,0,28.57,40,0,33.33,50
51 to 75%,1.77,15.52,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,7.69,0,0,0,0,1.39,0,3.1,0,0,0,0,0,0,0,0,0,33.33,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76 to 100%,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What percentage of toilets have locks on the inside?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 to 25%,63.22,52.73,86.67,14.29,8.33,75,25,33.33,14.29,0,66.67,50,0,75,25,83.33,87.5,33.33,60,0,0,0,16.67,66.67,63.64,88.89,33.33,83.33,88.52,94.03,66.67,55.16,100,100,25,0,100,0,NA,50,100,20,31.16,45.45,0,0,62.96,80,52.94,71.54,0,85.71,0,66.67,83.33,0,100,20,53.85,85.71,50,33.33
26 to 50%,25.39,41.82,0,0,8.33,25,0,26.67,78.57,66.67,0,0,0,21.88,75,0,12.5,66.67,13.33,0,100,0,33.33,0,28.79,0,0,0,8.2,5.97,33.33,33.87,0,0,75,100,0,100,NA,50,0,20,50.72,27.27,63.64,100,33.33,15.52,47.06,20.77,50,0,0,33.33,16.67,100,0,60,38.46,14.29,50,66.67
51 to 75%,6.59,3.64,13.33,42.86,16.67,0,25,26.67,7.14,33.33,33.33,0,12.5,3.12,0,16.67,0,0,10,0,0,0,50,33.33,7.58,0,33.33,16.67,3.28,0,0,6.45,0,0,0,0,0,0,NA,0,0,40,13.04,27.27,27.27,0,3.7,2.69,0,6.15,50,0,0,0,0,0,0,20,7.69,0,0,0
76 to 100%,4.8,1.82,0,42.86,66.67,0,50,13.33,0,0,0,50,87.5,0,0,0,0,0,16.67,100,0,100,0,0,0,11.11,33.33,0,0,0,0,4.52,0,0,0,0,0,0,NA,0,0,20,5.07,0,9.09,0,0,1.79,0,1.54,0,14.29,100,0,0,0,0,0,0,0,0,0
What percentage of toilets have internal lighting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 to 25%,90.29,65,100,100,92.31,80,100,100,100,100,100,100,33.33,94.12,50,100,100,100,100,100,100,100,100,100,91.04,100,100,100,98.44,94.29,60,92.9,100,100,66.67,33.33,100,100,100,100,100,100,85.23,53.85,100,100,87.5,92.68,70.59,87.19,100,100,100,66.67,100,100,100,71.43,68.75,90,100,50
26 to 50%,8.57,30,0,0,0,20,0,0,0,0,0,0,44.44,5.88,50,0,0,0,0,0,0,0,0,0,8.96,0,0,0,1.56,4.29,40,5.74,0,0,33.33,66.67,0,0,0,0,0,0,12.75,23.08,0,0,12.5,6.48,29.41,12.46,0,0,0,33.33,0,0,0,28.57,31.25,10,0,50
51 to 75%,0.93,3.33,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,1.37,0,0,0,0,0,0,0,0,0,0,2.01,23.08,0,0,0,0.28,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0
76 to 100%,0.21,1.67,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What percentage of toilets are accessible for persons with disabilities?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 to 25%,89.9,69.49,95,100,60,80,100,87.5,93.75,100,100,83.33,100,94.74,66.67,100,100,100,98.61,100,50,100,100,75,91.18,100,100,100,98.46,94.52,75,90.11,100,100,100,33.33,100,100,100,100,100,100,87.92,54.55,87.5,66.67,77.78,92.75,61.11,87.9,100,100,75,100,100,100,100,85.71,83.33,75,100,50
26 to 50%,9.56,28.81,5,0,30,20,0,12.5,6.25,0,0,16.67,0,5.26,33.33,0,0,0,1.39,0,50,0,0,25,8.82,0,0,0,1.54,5.48,25,9.6,0,0,0,66.67,0,0,0,0,0,0,10.74,45.45,12.5,0,22.22,6.96,38.89,11.74,0,0,0,0,0,0,0,14.29,16.67,12.5,0,50
51 to 75%,0.43,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.34,0,0,33.33,0,0.29,0,0.36,0,0,0,0,0,0,0,0,0,12.5,0,0
76 to 100%,0.11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
How frequently does desludging of latrines occur?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 3 months,34.36,12.73,0,0,0,0,0,0,0,25,0,0,0,0,33.33,33.33,0,0,10.17,0,0,0,0,0,42.62,22.22,100,28.57,37.5,62.12,0,5.14,0,0,0,0,66.67,0,0,0,0,0,13.89,7.14,0,0,84.21,60.73,57.89,67.79,NA,0,0,0,58.82,0,0,75,64.29,50,100,40
3 to 6 months,20.47,40,0,0,10,0,0,23.08,0,0,0,100,0,0,33.33,0,0,0,33.9,33.33,0,0,16.67,0,22.95,66.67,0,71.43,52.08,21.21,75,12.33,0,0,0,0,33.33,0,100,100,0,0,38.89,85.71,0,0,10.53,18.15,21.05,14.23,NA,0,0,0,17.65,100,66.67,25,21.43,25,0,20
Not at all,18.42,7.27,6.25,0,10,0,0,0,0,0,50,0,0,33.33,33.33,0,0,0,1.69,0,0,0,0,0,1.64,0,0,0,4.17,7.58,0,62.67,100,0,66.67,0,0,0,0,0,0,0,26.39,0,0,33.33,5.26,5.61,21.05,6.74,NA,0,0,0,0,0,0,0,14.29,0,0,40
1 to 2 years,14.13,12.73,31.25,33.33,60,20,100,46.15,9.09,75,50,0,16.67,37.5,0,0,76.92,25,30.51,66.67,100,22.22,66.67,0,27.87,11.11,0,0,6.25,1.52,25,13.36,0,100,0,0,0,100,0,0,100,60,18.75,7.14,8.33,0,0,4.95,0,1.87,NA,50,50,100,11.76,0,33.33,0,0,12.5,0,0
More than 2 years,7.43,1.82,62.5,66.67,20,80,0,30.77,90.91,0,0,0,83.33,29.17,0,66.67,23.08,75,23.73,0,0,77.78,16.67,100,4.92,0,0,0,0,3.03,0,4.79,0,0,0,0,0,0,0,0,0,40,2.08,0,91.67,66.67,0,0,0,0,NA,50,50,0,0,0,0,0,0,0,0,0
Weekly,4.89,25.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,1.03,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,10.56,0,9.36,NA,0,0,0,11.76,0,0,0,0,12.5,0,0
Daily,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,33.33,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
How is solid waste mainly disposed of by residents of this site?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burning,49.09,34.48,85,100,78.57,37.5,50,35.71,53.33,14.29,28.57,75,50,59.46,80,0,57.14,100,73.08,0,100,100,100,0,54.76,50,66.67,16.67,91.53,25,40,69.88,90,62.5,NA,80,0,33.33,0,0,100,16.67,30.88,0,76.92,100,70,38.74,33.33,20.36,0,0,62.5,25,16.67,50,100,28.57,76.47,33.33,100,66.67
Burial if in designated areas far from houses and water sources,23.35,31.03,15,0,21.43,37.5,0,21.43,46.67,85.71,0,12.5,12.5,0,20,0,4.76,0,3.85,0,0,0,0,80,32.14,10,0,0,5.08,50,0,13.98,0,0,NA,0,33.33,0,0,100,0,66.67,25.74,33.33,15.38,0,10,26.73,27.78,41.79,0,66.67,12.5,25,27.78,0,0,42.86,17.65,50,0,33.33
Burial - also in areas close to houses,12.77,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,100,0,0,0,20,1.19,10,33.33,0,0,8.33,0,1.93,0,0,NA,0,0,0,0,0,0,0,30.88,25,0,0,10,23.72,5.56,28.57,0,0,0,0,55.56,0,0,0,0,0,0,0
In open,10.74,12.07,0,0,0,25,50,42.86,0,0,71.43,12.5,37.5,40.54,0,60,19.05,0,20.51,0,0,0,0,0,7.14,10,0,83.33,3.39,8.33,60,12.53,10,37.5,NA,0,66.67,0,100,0,0,16.67,5.88,25,7.69,0,10,6.31,5.56,5.71,100,33.33,25,0,0,50,0,0,5.88,0,0,0
Household or communal covered pit,2.44,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,0,1.28,0,0,0,0,0,4.76,20,0,0,0,0,0,1.69,0,0,NA,0,0,66.67,0,0,0,0,2.94,16.67,0,0,0,1.5,22.22,1.43,0,0,0,50,0,0,0,28.57,0,16.67,0,0
Burial - also in areas close to water sources,1.25,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,NA,20,0,0,0,0,0,0,0.74,0,0,0,0,3,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
Other,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2.94,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0
How long does it take for MOST residents of the site to walk to their nearest FUNCTIONAL latrine? (TRAVEL ONE WAY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 15 minutes,78.81,68.52,100,85.71,100,100,100,93.75,92.86,85.71,100,100,90,75.76,75,100,90.48,75,85.29,100,0,100,66.67,80,77.61,100,100,83.33,98.33,66.13,100,72.35,100,100,0,20,100,100,100,50,85.71,100,88.54,0,84.62,100,75,71.7,61.9,86.13,100,100,100,100,68.75,100,100,85.71,53.85,36.36,66.67,16.67
Between 15 and 30 minutes,16.81,22.22,0,14.29,0,0,0,6.25,0,14.29,0,0,10,18.18,25,0,9.52,25,14.71,0,100,0,33.33,20,19.4,0,0,16.67,1.67,11.29,0,18.01,0,0,66.67,80,0,0,0,50,14.29,0,10.83,84.62,15.38,0,25,23.27,38.1,12.41,0,0,0,0,25,0,0,14.29,46.15,63.64,33.33,83.33
Between 30minutes and one hour,4.16,9.26,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,22.58,0,9.32,0,0,0,0,0,0,0,0,0,0,0.64,15.38,0,0,0,5.03,0,1.46,0,0,0,0,6.25,0,0,0,0,0,0,0
More than one hour,0.22,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For any of the following groups, are there any impediments to accessing latrines?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,50,42,55,12,85,20,50,24,71,29,0,0,90,62,60,8,100,100,53,0,33,100,100,100,41,50,50,0,51,55,0,44,0,0,25,100,50,0,0,0,0,23,40,80,0,0,63,57,19,57,100,14,50,50,67,0,75,100,53,73,100,83
Children,61,41,55,25,92,0,25,59,94,57,0,100,80,52,80,42,95,100,49,0,0,100,100,100,34,50,25,71,54,78,17,71,27,0,50,100,50,75,0,0,0,23,51,60,93,0,78,63,33,66,100,57,0,0,67,0,50,86,58,64,100,83
Elders (Persons age 60 and more),76,59,85,100,92,0,50,71,94,100,33,100,70,83,100,50,100,100,76,100,100,100,100,100,46,42,50,71,63,81,33,75,100,0,100,33,50,100,100,50,14,54,81,100,93,33,78,82,62,78,100,86,75,50,78,0,50,71,53,82,100,100
"Persons with difficulty seeing, hearing, or moving around",60,56,70,50,92,0,25,59,94,100,33,14,100,71,60,8,52,100,74,100,67,100,100,100,36,25,25,43,61,62,0,66,100,0,75,17,100,25,0,50,0,77,73,53,93,67,56,58,71,47,50,86,100,50,78,0,25,57,53,64,67,83
Minorities (persons not affiliated with the majority group / not affiliated with any clan / from another area as the majority of the other residents),11,17,5,0,31,0,25,6,0,0,0,0,0,5,40,0,10,0,11,0,33,10,14,80,3,0,25,0,9,5,33,19,27,0,0,17,0,0,100,0,0,0,10,20,0,0,11,8,29,5,0,0,0,0,11,0,0,14,11,36,0,33
There are no impediments for any of the above groups,9,11,10,0,8,80,0,12,6,0,33,0,0,0,0,42,0,0,15,0,0,0,0,0,32,25,25,0,18,5,17,6,0,100,0,0,0,0,0,50,86,8,4,0,7,33,0,6,10,10,0,14,0,25,11,50,25,0,16,0,0,0
Do not know,4,26,5,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,32,33,0,14,4,3,17,0,0,11,0,0,0,0,0,0,0,8,4,0,0,0,0,2,0,3,0,0,0,0,0,50,0,0,5,0,0,0
Other,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,9,0,0
How long does it take for MOST residents of the site to walk to their nearest bathing facility? (TRAVEL ONE WAY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 15 minutes,77.27,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,50,100,66.67,NA,100,NA,NA,NA,NA,100,100,100,NA,0,100,0,100,53.85,100,NA,NA,0,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,100,NA,NA,NA,100,NA,66.67,NA,NA,NA,NA,NA,100,NA,NA
Between 15 and 30 minutes,21.59,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50,0,33.33,NA,0,NA,NA,NA,NA,0,0,0,NA,0,0,100,0,46.15,0,NA,NA,100,NA,NA,NA,NA,NA,NA,0,100,NA,NA,NA,0,NA,NA,NA,0,NA,33.33,NA,NA,NA,NA,NA,0,NA,NA
Between 30minutes and one hour,1.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,NA,100,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA
What proportion of residents use latrines for bathing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 to 25%,49.32,7.14,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,100,75,100,NA,NA,NA,NA,NA,NA,50,0,0,NA,0,100,100,100,66.67,100,NA,NA,0,NA,NA,NA,NA,NA,NA,0,12.5,NA,NA,NA,40,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,100,NA,NA
26 to 50%,36.99,57.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,0,25,0,NA,NA,NA,NA,NA,NA,0,100,100,NA,100,0,0,0,16.67,0,NA,NA,100,NA,NA,NA,NA,NA,NA,0,87.5,NA,NA,NA,40,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA
51 to 75%,13.7,35.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,50,0,0,NA,0,0,0,0,16.67,0,NA,NA,0,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,20,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA
Do any households in the settlement have problems related to sanitation facilities (latrines/toilets)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No problem,36,15,50,NA,NA,NA,NA,NA,NA,0,NA,0,50,0,0,92,50,NA,0,NA,NA,NA,NA,0,0,25,0,0,60,50,100,61,0,NA,NA,0,NA,NA,NA,NA,NA,NA,62,0,NA,100,29,33,0,56,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
Lack of sanitation facilities (latrines/toilets) / facilities too crowded,31,4,0,NA,NA,NA,NA,NA,NA,100,NA,0,0,67,100,8,31,NA,67,NA,NA,NA,NA,100,33,50,100,0,0,0,0,24,67,NA,NA,33,NA,NA,NA,NA,NA,NA,25,100,NA,0,29,33,0,22,NA,50,NA,25,NA,NA,NA,NA,50,0,NA,NA
Sanitation facilities (latrines/toilets) are not functioning or full,21,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,50,67,100,0,12,NA,33,NA,NA,NA,NA,100,100,25,0,0,0,50,0,7,17,NA,NA,50,NA,NA,NA,NA,NA,NA,0,36,NA,0,71,33,0,11,NA,50,NA,0,NA,NA,NA,NA,0,0,NA,NA
Sanitation facilities (latrines/toilets) are unclean/unhygienic,18,7,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,56,100,0,6,NA,67,NA,NA,NA,NA,60,33,25,0,0,0,0,0,2,67,NA,NA,33,NA,NA,NA,NA,NA,NA,0,36,NA,0,43,33,0,0,NA,0,NA,50,NA,NA,NA,NA,0,0,NA,NA
Sanitation facilities (latrines/toilets) are not private (no locks/door/walls/lighting etc.),12,4,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,56,50,0,0,NA,0,NA,NA,NA,NA,100,67,0,0,0,0,0,0,4,0,NA,NA,33,NA,NA,NA,NA,NA,NA,12,27,NA,0,29,14,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
Sanitation facilities (latrines/toilets) are not segregated between men and women,14,4,25,NA,NA,NA,NA,NA,NA,0,NA,100,50,11,0,0,0,NA,0,NA,NA,NA,NA,100,0,25,100,0,0,50,0,4,83,NA,NA,17,NA,NA,NA,NA,NA,NA,0,27,NA,0,14,14,0,11,NA,50,NA,50,NA,NA,NA,NA,0,0,NA,NA
Sanitation facilities (latrines/toilets) are too far,9,4,0,NA,NA,NA,NA,NA,NA,0,NA,0,50,56,50,0,0,NA,0,NA,NA,NA,NA,80,0,0,100,0,0,50,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,27,NA,0,0,14,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities),9,11,25,NA,NA,NA,NA,NA,NA,0,NA,100,0,11,0,0,0,NA,0,NA,NA,NA,NA,80,0,0,0,0,20,0,0,0,17,NA,NA,33,NA,NA,NA,NA,NA,NA,0,27,NA,0,14,10,0,0,NA,0,NA,0,NA,NA,NA,NA,50,0,NA,NA
Going to the sanitation facilities (latrines/toilets) is dangerous,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,6,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,9,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to the waterpoints",2,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,50,11,0,0,0,NA,0,NA,NA,NA,NA,40,0,0,0,0,0,0,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
Other,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
Do not know,12,67,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,100,40,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,12,0,NA,0,0,10,100,11,NA,0,NA,0,NA,NA,NA,NA,0,100,NA,NA
"Within or around this site, what types of health facilities are available?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First aid post,20,3,48,0,7,0,25,0,11,0,11,0,0,15,29,33,4,0,6,0,0,0,0,0,1,25,0,0,1,0,0,47,8,0,0,17,25,0,0,0,38,0,35,11,0,0,15,12,33,9,62,20,10,0,6,0,25,29,0,9,33,0
Pharmacy,58,52,8,25,33,25,62,22,50,75,11,44,20,75,57,42,41,0,9,40,33,0,0,0,77,83,75,86,46,64,67,47,58,0,100,17,0,0,100,100,62,31,65,28,58,60,96,76,81,78,38,20,10,50,33,0,25,71,58,82,33,100
District hospital,32,19,0,12,7,50,75,39,11,100,33,22,13,4,43,0,33,0,11,40,100,10,0,0,66,67,0,0,13,15,0,43,8,100,100,33,50,25,100,50,0,92,45,50,11,40,56,36,52,13,100,10,10,0,22,50,25,86,16,27,33,17
Mobile clinic,25,33,4,0,27,0,0,0,11,0,0,33,7,15,14,8,7,0,48,80,0,0,12,100,10,17,0,0,14,18,0,49,8,0,0,83,50,25,67,50,62,38,38,83,16,20,19,12,29,7,38,0,10,0,6,0,0,43,0,18,67,0
Private clinic,19,26,0,25,0,12,12,0,22,38,11,22,0,15,14,8,4,0,1,0,0,10,0,0,34,8,0,0,11,15,0,26,75,0,0,17,25,0,33,50,62,8,42,33,0,20,15,13,14,15,0,0,0,0,28,0,0,14,11,36,67,17
NGO clinic,20,6,12,19,20,0,12,6,28,25,0,11,0,8,57,33,4,0,15,40,0,0,0,20,10,0,0,0,10,1,0,34,75,78,0,17,0,50,0,50,25,8,31,0,16,20,22,19,43,10,0,0,0,0,17,50,0,14,42,36,100,83
Government run clinic,10,1,52,12,53,12,62,17,61,12,11,11,0,35,0,42,4,0,11,0,0,0,0,0,2,8,25,0,0,8,0,6,0,11,25,50,25,0,0,0,0,0,9,0,74,40,37,6,14,7,12,50,70,100,28,0,0,43,5,18,33,0
No access to any health facility,14,12,16,44,33,12,12,28,22,0,56,44,80,12,43,33,41,100,38,20,0,90,88,0,3,8,25,14,42,11,0,7,0,0,0,0,25,0,0,0,12,0,8,6,16,20,0,11,5,10,0,30,20,0,44,0,75,0,5,18,0,0
Do not know,5,17,20,0,0,0,0,0,6,0,0,0,0,2,0,25,15,0,10,0,0,20,0,0,3,0,0,0,27,9,33,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,7,0,5,0,0,0,0,11,50,0,0,0,0,0,0
Other,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Within or around this site, what types of health services are available?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
